LCLid,tstp,energy(kWh/hh)
MAC000146,2013-01-01 00:00:00, 0.069 
MAC000146,2013-01-01 00:30:00, 0.086 
MAC000146,2013-01-01 01:00:00, 0.064 
MAC000146,2013-01-01 01:30:00, 0.06 
MAC000146,2013-01-01 02:00:00, 0.232 
MAC000146,2013-01-01 02:30:00, 0.221 
MAC000146,2013-01-01 03:00:00, 0.172 
MAC000146,2013-01-01 03:30:00, 0.11 
MAC000146,2013-01-01 04:00:00, 0.091 
MAC000146,2013-01-01 04:30:00, 0.086 
MAC000146,2013-01-01 05:00:00, 0.074 
MAC000146,2013-01-01 05:30:00, 0.06 
MAC000146,2013-01-01 06:00:00, 0.065 
MAC000146,2013-01-01 06:30:00, 0.125 
MAC000146,2013-01-01 07:00:00, 0.092 
MAC000146,2013-01-01 07:30:00, 0.084 
MAC000146,2013-01-01 08:00:00, 0.089 
MAC000146,2013-01-01 08:30:00, 0.093 
MAC000146,2013-01-01 09:00:00, 0.098 
MAC000146,2013-01-01 09:30:00, 0.43 
MAC000146,2013-01-01 10:00:00, 0.097 
MAC000146,2013-01-01 10:30:00, 0.046 
MAC000146,2013-01-01 11:00:00, 0.07 
MAC000146,2013-01-01 11:30:00, 0.081 
MAC000146,2013-01-01 12:00:00, 0.165 
MAC000146,2013-01-01 12:30:00, 0.062 
MAC000146,2013-01-01 13:00:00, 0.078 
MAC000146,2013-01-01 13:30:00, 0.203 
MAC000146,2013-01-01 14:00:00, 0.137 
MAC000146,2013-01-01 14:30:00, 0.098 
MAC000146,2013-01-01 15:00:00, 0.071 
MAC000146,2013-01-01 15:30:00, 0.049 
MAC000146,2013-01-01 16:00:00, 0.119 
MAC000146,2013-01-01 16:30:00, 0.109 
MAC000146,2013-01-01 17:00:00, 0.287 
MAC000146,2013-01-01 17:30:00, 0.216 
MAC000146,2013-01-01 18:00:00, 0.278 
MAC000146,2013-01-01 18:30:00, 0.169 
MAC000146,2013-01-01 19:00:00, 0.262 
MAC000146,2013-01-01 19:30:00, 0.274 
MAC000146,2013-01-01 20:00:00, 0.152 
MAC000146,2013-01-01 20:30:00, 0.133 
MAC000146,2013-01-01 21:00:00, 0.151 
MAC000146,2013-01-01 21:30:00, 0.199 
MAC000146,2013-01-01 22:00:00, 0.102 
MAC000146,2013-01-01 22:30:00, 0.155 
MAC000146,2013-01-01 23:00:00, 0.091 
MAC000146,2013-01-01 23:30:00, 0.051 
MAC000146,2013-01-02 00:00:00, 0.094 
MAC000146,2013-01-02 00:30:00, 0.071 
MAC000146,2013-01-02 01:00:00, 0.069 
MAC000146,2013-01-02 01:30:00, 0.077 
MAC000146,2013-01-02 02:00:00, 0.098 
MAC000146,2013-01-02 02:30:00, 0.076 
MAC000146,2013-01-02 03:00:00, 0.054 
MAC000146,2013-01-02 03:30:00, 0.061 
MAC000146,2013-01-02 04:00:00, 0.084 
MAC000146,2013-01-02 04:30:00, 0.07 
MAC000146,2013-01-02 05:00:00, 0.043 
MAC000146,2013-01-02 05:30:00, 0.071 
MAC000146,2013-01-02 06:00:00, 0.067 
MAC000146,2013-01-02 06:30:00, 0.117 
MAC000146,2013-01-02 07:00:00, 0.104 
MAC000146,2013-01-02 07:30:00, 0.109 
MAC000146,2013-01-02 08:00:00, 0.117 
MAC000146,2013-01-02 08:30:00, 0.279 
MAC000146,2013-01-02 09:00:00, 0.138 
MAC000146,2013-01-02 09:30:00, 0.226 
MAC000146,2013-01-02 10:00:00, 0.118 
MAC000146,2013-01-02 10:30:00, 0.064 
MAC000146,2013-01-02 11:00:00, 0.069 
MAC000146,2013-01-02 11:30:00, 0.072 
MAC000146,2013-01-02 12:00:00, 0.083 
MAC000146,2013-01-02 12:30:00, 0.137 
MAC000146,2013-01-02 13:00:00, 0.129 
MAC000146,2013-01-02 13:30:00, 0.2 
MAC000146,2013-01-02 14:00:00, 0.179 
MAC000146,2013-01-02 14:30:00, 0.187 
MAC000146,2013-01-02 15:00:00, 0.109 
MAC000146,2013-01-02 15:30:00, 0.134 
MAC000146,2013-01-02 16:00:00, 0.362 
MAC000146,2013-01-02 16:30:00, 0.373 
MAC000146,2013-01-02 17:00:00, 0.369 
MAC000146,2013-01-02 17:30:00, 0.331 
MAC000146,2013-01-02 18:00:00, 0.301 
MAC000146,2013-01-02 18:30:00, 0.841 
MAC000146,2013-01-02 19:00:00, 0.28 
MAC000146,2013-01-02 19:30:00, 0.138 
MAC000146,2013-01-02 20:00:00, 0.134 
MAC000146,2013-01-02 20:30:00, 0.119 
MAC000146,2013-01-02 21:00:00, 0.126 
MAC000146,2013-01-02 21:30:00, 0.136 
MAC000146,2013-01-02 22:00:00, 0.116 
MAC000146,2013-01-02 22:30:00, 0.167 
MAC000146,2013-01-02 23:00:00, 0.156 
MAC000146,2013-01-02 23:30:00, 0.097 
MAC000146,2013-01-03 00:00:00, 0.08 
MAC000146,2013-01-03 00:30:00, 0.068 
MAC000146,2013-01-03 01:00:00, 0.066 
MAC000146,2013-01-03 01:30:00, 0.08 
MAC000146,2013-01-03 02:00:00, 0.075 
MAC000146,2013-01-03 02:30:00, 0.063 
MAC000146,2013-01-03 03:00:00, 0.109 
MAC000146,2013-01-03 03:30:00, 0.095 
MAC000146,2013-01-03 04:00:00, 0.049 
MAC000146,2013-01-03 04:30:00, 0.085 
MAC000146,2013-01-03 05:00:00, 0.081 
MAC000146,2013-01-03 05:30:00, 0.053 
MAC000146,2013-01-03 06:00:00, 0.078 
MAC000146,2013-01-03 06:30:00, 0.158 
MAC000146,2013-01-03 07:00:00, 0.11 
MAC000146,2013-01-03 07:30:00, 0.107 
MAC000146,2013-01-03 08:00:00, 0.103 
MAC000146,2013-01-03 08:30:00, 0.059 
MAC000146,2013-01-03 09:00:00, 0.087 
MAC000146,2013-01-03 09:30:00, 0.276 
MAC000146,2013-01-03 10:00:00, 0.133 
MAC000146,2013-01-03 10:30:00, 0.116 
MAC000146,2013-01-03 11:00:00, 0.125 
MAC000146,2013-01-03 11:30:00, 0.083 
MAC000146,2013-01-03 12:00:00, 0.07 
MAC000146,2013-01-03 12:30:00, 0.089 
MAC000146,2013-01-03 13:00:00, 0.068 
MAC000146,2013-01-03 13:30:00, 0.098 
MAC000146,2013-01-03 14:00:00, 0.122 
MAC000146,2013-01-03 14:30:00, 0.135 
MAC000146,2013-01-03 15:00:00, 0.155 
MAC000146,2013-01-03 15:30:00, 0.15 
MAC000146,2013-01-03 16:00:00, 0.147 
MAC000146,2013-01-03 16:30:00, 0.214 
MAC000146,2013-01-03 17:00:00, 0.445 
MAC000146,2013-01-03 17:30:00, 0.294 
MAC000146,2013-01-03 18:00:00, 0.263 
MAC000146,2013-01-03 18:30:00, 0.431 
MAC000146,2013-01-03 19:00:00, 0.224 
MAC000146,2013-01-03 19:30:00, 0.281 
MAC000146,2013-01-03 20:00:00, 0.171 
MAC000146,2013-01-03 20:30:00, 0.235 
MAC000146,2013-01-03 21:00:00, 0.103 
MAC000146,2013-01-03 21:30:00, 0.269 
MAC000146,2013-01-03 22:00:00, 0.293 
MAC000146,2013-01-03 22:30:00, 0.27 
MAC000146,2013-01-03 23:00:00, 0.155 
MAC000146,2013-01-03 23:30:00, 0.11 
MAC000146,2013-01-04 00:00:00, 0.055 
MAC000146,2013-01-04 00:30:00, 0.079 
MAC000146,2013-01-04 01:00:00, 0.094 
MAC000146,2013-01-04 01:30:00, 0.069 
MAC000146,2013-01-04 02:00:00, 0.114 
MAC000146,2013-01-04 02:30:00, 0.097 
MAC000146,2013-01-04 03:00:00, 0.052 
MAC000146,2013-01-04 03:30:00, 0.069 
MAC000146,2013-01-04 04:00:00, 0.17 
MAC000146,2013-01-04 04:30:00, 0.292 
MAC000146,2013-01-04 05:00:00, 0.076 
MAC000146,2013-01-04 05:30:00, 0.105 
MAC000146,2013-01-04 06:00:00, 0.09 
MAC000146,2013-01-04 06:30:00, 0.079 
MAC000146,2013-01-04 07:00:00, 0.125 
MAC000146,2013-01-04 07:30:00, 0.097 
MAC000146,2013-01-04 08:00:00, 0.077 
MAC000146,2013-01-04 08:30:00, 0.207 
MAC000146,2013-01-04 09:00:00, 0.128 
