LCLid,tstp,energy(kWh/hh)
MAC000136,2013-01-01 00:00:00, 0.346 
MAC000136,2013-01-01 00:30:00, 0.375 
MAC000136,2013-01-01 01:00:00, 0.311 
MAC000136,2013-01-01 01:30:00, 0.28 
MAC000136,2013-01-01 02:00:00, 0.287 
MAC000136,2013-01-01 02:30:00, 0.162 
MAC000136,2013-01-01 03:00:00, 0.151 
MAC000136,2013-01-01 03:30:00, 0.152 
MAC000136,2013-01-01 04:00:00, 0.149 
MAC000136,2013-01-01 04:30:00, 0.151 
MAC000136,2013-01-01 05:00:00, 0.151 
MAC000136,2013-01-01 05:30:00, 0.121 
MAC000136,2013-01-01 06:00:00, 0.126 
MAC000136,2013-01-01 06:30:00, 0.183 
MAC000136,2013-01-01 07:00:00, 0.18 
MAC000136,2013-01-01 07:30:00, 0.186 
MAC000136,2013-01-01 08:00:00, 0.206 
MAC000136,2013-01-01 08:30:00, 0.449 
MAC000136,2013-01-01 09:00:00, 0.355 
MAC000136,2013-01-01 09:30:00, 0.267 
MAC000136,2013-01-01 10:00:00, 0.303 
MAC000136,2013-01-01 10:30:00, 0.299 
MAC000136,2013-01-01 11:00:00, 0.724 
MAC000136,2013-01-01 11:30:00, 0.777 
MAC000136,2013-01-01 12:00:00, 1.402 
MAC000136,2013-01-01 12:30:00, 1.108 
MAC000136,2013-01-01 13:00:00, 0.306 
MAC000136,2013-01-01 13:30:00, 0.774 
MAC000136,2013-01-01 14:00:00, 1.388 
MAC000136,2013-01-01 14:30:00, 1.069 
MAC000136,2013-01-01 15:00:00, 0.586 
MAC000136,2013-01-01 15:30:00, 0.322 
MAC000136,2013-01-01 16:00:00, 0.415 
MAC000136,2013-01-01 16:30:00, 0.456 
MAC000136,2013-01-01 17:00:00, 0.363 
MAC000136,2013-01-01 17:30:00, 0.365 
MAC000136,2013-01-01 18:00:00, 0.358 
MAC000136,2013-01-01 18:30:00, 0.442 
MAC000136,2013-01-01 19:00:00, 0.311 
MAC000136,2013-01-01 19:30:00, 0.404 
MAC000136,2013-01-01 20:00:00, 0.37 
MAC000136,2013-01-01 20:30:00, 0.401 
MAC000136,2013-01-01 21:00:00, 0.398 
MAC000136,2013-01-01 21:30:00, 0.417 
MAC000136,2013-01-01 22:00:00, 0.48 
MAC000136,2013-01-01 22:30:00, 0.409 
MAC000136,2013-01-01 23:00:00, 0.51 
MAC000136,2013-01-01 23:30:00, 0.345 
MAC000136,2013-01-02 00:00:00, 0.349 
MAC000136,2013-01-02 00:30:00, 0.324 
MAC000136,2013-01-02 01:00:00, 0.272 
MAC000136,2013-01-02 01:30:00, 0.27 
MAC000136,2013-01-02 02:00:00, 0.15 
MAC000136,2013-01-02 02:30:00, 0.156 
MAC000136,2013-01-02 03:00:00, 0.176 
MAC000136,2013-01-02 03:30:00, 0.153 
MAC000136,2013-01-02 04:00:00, 0.151 
MAC000136,2013-01-02 04:30:00, 0.152 
MAC000136,2013-01-02 05:00:00, 0.152 
MAC000136,2013-01-02 05:30:00, 0.151 
MAC000136,2013-01-02 06:00:00, 0.174 
MAC000136,2013-01-02 06:30:00, 0.105 
MAC000136,2013-01-02 07:00:00, 0.182 
MAC000136,2013-01-02 07:30:00, 0.198 
MAC000136,2013-01-02 08:00:00, 0.455 
MAC000136,2013-01-02 08:30:00, 0.331 
MAC000136,2013-01-02 09:00:00, 0.275 
MAC000136,2013-01-02 09:30:00, 0.275 
MAC000136,2013-01-02 10:00:00, 0.385 
MAC000136,2013-01-02 10:30:00, 0.521 
MAC000136,2013-01-02 11:00:00, 0.335 
MAC000136,2013-01-02 11:30:00, 0.245 
MAC000136,2013-01-02 12:00:00, 0.266 
MAC000136,2013-01-02 12:30:00, 0.265 
MAC000136,2013-01-02 13:00:00, 0.302 
MAC000136,2013-01-02 13:30:00, 0.301 
MAC000136,2013-01-02 14:00:00, 0.423 
MAC000136,2013-01-02 14:30:00, 0.411 
MAC000136,2013-01-02 15:00:00, 0.339 
MAC000136,2013-01-02 15:30:00, 0.588 
MAC000136,2013-01-02 16:00:00, 0.708 
MAC000136,2013-01-02 16:30:00, 0.489 
MAC000136,2013-01-02 17:00:00, 0.365 
MAC000136,2013-01-02 17:30:00, 0.343 
MAC000136,2013-01-02 18:00:00, 0.367 
MAC000136,2013-01-02 18:30:00, 0.535 
MAC000136,2013-01-02 19:00:00, 0.429 
MAC000136,2013-01-02 19:30:00, 0.343 
MAC000136,2013-01-02 20:00:00, 0.343 
MAC000136,2013-01-02 20:30:00, 0.441 
MAC000136,2013-01-02 21:00:00, 0.416 
MAC000136,2013-01-02 21:30:00, 0.43 
MAC000136,2013-01-02 22:00:00, 0.476 
MAC000136,2013-01-02 22:30:00, 0.51 
MAC000136,2013-01-02 23:00:00, 0.508 
MAC000136,2013-01-02 23:30:00, 0.392 
MAC000136,2013-01-03 00:00:00, 0.38 
MAC000136,2013-01-03 00:30:00, 0.351 
MAC000136,2013-01-03 01:00:00, 0.299 
MAC000136,2013-01-03 01:30:00, 0.266 
MAC000136,2013-01-03 02:00:00, 0.256 
MAC000136,2013-01-03 02:30:00, 0.157 
MAC000136,2013-01-03 03:00:00, 0.151 
MAC000136,2013-01-03 03:30:00, 0.155 
MAC000136,2013-01-03 04:00:00, 0.181 
MAC000136,2013-01-03 04:30:00, 0.15 
MAC000136,2013-01-03 05:00:00, 0.15 
MAC000136,2013-01-03 05:30:00, 0.105 
MAC000136,2013-01-03 06:00:00, 0.132 
MAC000136,2013-01-03 06:30:00, 0.159 
MAC000136,2013-01-03 07:00:00, 0.182 
MAC000136,2013-01-03 07:30:00, 0.21 
MAC000136,2013-01-03 08:00:00, 0.195 
MAC000136,2013-01-03 08:30:00, 0.329 
MAC000136,2013-01-03 09:00:00, 0.409 
MAC000136,2013-01-03 09:30:00, 0.289 
MAC000136,2013-01-03 10:00:00, 0.294 
MAC000136,2013-01-03 10:30:00, 0.267 
MAC000136,2013-01-03 11:00:00, 0.489 
MAC000136,2013-01-03 11:30:00, 1.5140001 
MAC000136,2013-01-03 12:00:00, 1.372 
MAC000136,2013-01-03 12:30:00, 1.193 
MAC000136,2013-01-03 13:00:00, 1.415 
MAC000136,2013-01-03 13:30:00, 1.229 
MAC000136,2013-01-03 14:00:00, 0.979 
MAC000136,2013-01-03 14:30:00, 1.429 
MAC000136,2013-01-03 15:00:00, 1.261 
MAC000136,2013-01-03 15:30:00, 1.232 
MAC000136,2013-01-03 16:00:00, 1.224 
MAC000136,2013-01-03 16:30:00, 1.178 
MAC000136,2013-01-03 17:00:00, 1.271 
MAC000136,2013-01-03 17:30:00, 1.199 
MAC000136,2013-01-03 18:00:00, 0.407 
MAC000136,2013-01-03 18:30:00, 1.311 
MAC000136,2013-01-03 19:00:00, 0.693 
MAC000136,2013-01-03 19:30:00, 0.464 
MAC000136,2013-01-03 20:00:00, 0.331 
MAC000136,2013-01-03 20:30:00, 0.341 
MAC000136,2013-01-03 21:00:00, 0.41 
MAC000136,2013-01-03 21:30:00, 0.456 
MAC000136,2013-01-03 22:00:00, 0.475 
MAC000136,2013-01-03 22:30:00, 0.405 
MAC000136,2013-01-03 23:00:00, 0.359 
MAC000136,2013-01-03 23:30:00, 0.548 
MAC000136,2013-01-04 00:00:00, 0.386 
MAC000136,2013-01-04 00:30:00, 0.372 
MAC000136,2013-01-04 01:00:00, 0.307 
MAC000136,2013-01-04 01:30:00, 0.265 
MAC000136,2013-01-04 02:00:00, 0.267 
MAC000136,2013-01-04 02:30:00, 0.155 
MAC000136,2013-01-04 03:00:00, 0.151 
MAC000136,2013-01-04 03:30:00, 0.172 
MAC000136,2013-01-04 04:00:00, 0.164 
MAC000136,2013-01-04 04:30:00, 0.155 
MAC000136,2013-01-04 05:00:00, 0.15 
MAC000136,2013-01-04 05:30:00, 0.148 
MAC000136,2013-01-04 06:00:00, 0.09 
MAC000136,2013-01-04 06:30:00, 0.156 
MAC000136,2013-01-04 07:00:00, 0.215 
MAC000136,2013-01-04 07:30:00, 0.217 
MAC000136,2013-01-04 08:00:00, 0.509 
MAC000136,2013-01-04 08:30:00, 0.327 
MAC000136,2013-01-04 09:00:00, 0.267 
MAC000136,2013-01-04 09:30:00, 0.284 
MAC000136,2013-01-04 10:00:00, 0.28 
MAC000136,2013-01-04 10:30:00, 0.532 
MAC000136,2013-01-04 11:00:00, 0.261 
MAC000136,2013-01-04 11:30:00, 0.238 
MAC000136,2013-01-04 12:00:00, 0.231 
MAC000136,2013-01-04 12:30:00, 0.231 
MAC000136,2013-01-04 13:00:00, 0.259 
MAC000136,2013-01-04 13:30:00, 0.241 
MAC000136,2013-01-04 14:00:00, 0.232 
MAC000136,2013-01-04 14:30:00, 0.367 
MAC000136,2013-01-04 15:00:00, 0.323 
MAC000136,2013-01-04 15:30:00, 0.266 
MAC000136,2013-01-04 16:00:00, 0.3 
MAC000136,2013-01-04 16:30:00, 0.386 
MAC000136,2013-01-04 17:00:00, 0.338 
MAC000136,2013-01-04 17:30:00, 0.37 
MAC000136,2013-01-04 18:00:00, 0.455 
MAC000136,2013-01-04 18:30:00, 0.373 
MAC000136,2013-01-04 19:00:00, 0.225 
MAC000136,2013-01-04 19:30:00, 0.19 
MAC000136,2013-01-04 20:00:00, 0.193 
MAC000136,2013-01-04 20:30:00, 0.198 
MAC000136,2013-01-04 21:00:00, 0.268 
MAC000136,2013-01-04 21:30:00, 0.419 
MAC000136,2013-01-04 22:00:00, 0.603 
MAC000136,2013-01-04 22:30:00, 0.451 
MAC000136,2013-01-04 23:00:00, 0.439 
MAC000136,2013-01-04 23:30:00, 0.367 
MAC000136,2013-01-05 00:00:00, 0.332 
MAC000136,2013-01-05 00:30:00, 0.346 
MAC000136,2013-01-05 01:00:00, 0.267 
MAC000136,2013-01-05 01:30:00, 0.225 
MAC000136,2013-01-05 02:00:00, 0.157 
MAC000136,2013-01-05 02:30:00, 0.157 
MAC000136,2013-01-05 03:00:00, 0.162 
MAC000136,2013-01-05 03:30:00, 0.175 
MAC000136,2013-01-05 04:00:00, 0.165 
MAC000136,2013-01-05 04:30:00, 0.154 
MAC000136,2013-01-05 05:00:00, 0.156 
MAC000136,2013-01-05 05:30:00, 0.158 
MAC000136,2013-01-05 06:00:00, 0.092 
MAC000136,2013-01-05 06:30:00, 0.163 
MAC000136,2013-01-05 07:00:00, 0.212 
MAC000136,2013-01-05 07:30:00, 0.21 
MAC000136,2013-01-05 08:00:00, 0.499 
MAC000136,2013-01-05 08:30:00, 0.321 
MAC000136,2013-01-05 09:00:00, 0.282 
MAC000136,2013-01-05 09:30:00, 0.261 
MAC000136,2013-01-05 10:00:00, 0.701 
MAC000136,2013-01-05 10:30:00, 0.354 
MAC000136,2013-01-05 11:00:00, 0.365 
MAC000136,2013-01-05 11:30:00, 0.574 
MAC000136,2013-01-05 12:00:00, 1.487 
MAC000136,2013-01-05 12:30:00, 1.54 
MAC000136,2013-01-05 13:00:00, 1.202 
MAC000136,2013-01-05 13:30:00, 1.0089999 
MAC000136,2013-01-05 14:00:00, 1.427 
MAC000136,2013-01-05 14:30:00, 1.049 
MAC000136,2013-01-05 15:00:00, 0.601 
MAC000136,2013-01-05 15:30:00, 1.2309999 
MAC000136,2013-01-05 16:00:00, 1.464 
MAC000136,2013-01-05 16:30:00, 1.125 
MAC000136,2013-01-05 17:00:00, 0.436 
MAC000136,2013-01-05 17:30:00, 0.948 
MAC000136,2013-01-05 18:00:00, 1.368 
MAC000136,2013-01-05 18:30:00, 1.405 
MAC000136,2013-01-05 19:00:00, 0.88 
MAC000136,2013-01-05 19:30:00, 0.438 
MAC000136,2013-01-05 20:00:00, 0.359 
MAC000136,2013-01-05 20:30:00, 0.385 
MAC000136,2013-01-05 21:00:00, 0.416 
MAC000136,2013-01-05 21:30:00, 0.47 
MAC000136,2013-01-05 22:00:00, 0.404 
MAC000136,2013-01-05 22:30:00, 0.502 
MAC000136,2013-01-05 23:00:00, 0.387 
MAC000136,2013-01-05 23:30:00, 0.383 
MAC000136,2013-01-06 00:00:00, 0.411 
MAC000136,2013-01-06 00:30:00, 0.33 
MAC000136,2013-01-06 01:00:00, 0.262 
MAC000136,2013-01-06 01:30:00, 0.264 
MAC000136,2013-01-06 02:00:00, 0.264 
MAC000136,2013-01-06 02:30:00, 0.249 
MAC000136,2013-01-06 03:00:00, 0.184 
MAC000136,2013-01-06 03:30:00, 0.134 
MAC000136,2013-01-06 04:00:00, 0.106 
MAC000136,2013-01-06 04:30:00, 0.151 
MAC000136,2013-01-06 05:00:00, 0.153 
MAC000136,2013-01-06 05:30:00, 0.162 
MAC000136,2013-01-06 06:00:00, 0.177 
MAC000136,2013-01-06 06:30:00, 0.19 
MAC000136,2013-01-06 07:00:00, 0.191 
MAC000136,2013-01-06 07:30:00, 0.186 
MAC000136,2013-01-06 08:00:00, 0.237 
MAC000136,2013-01-06 08:30:00, 0.545 
MAC000136,2013-01-06 09:00:00, 0.38 
MAC000136,2013-01-06 09:30:00, 0.279 
MAC000136,2013-01-06 10:00:00, 0.238 
MAC000136,2013-01-06 10:30:00, 0.219 
MAC000136,2013-01-06 11:00:00, 0.391 
MAC000136,2013-01-06 11:30:00, 0.346 
MAC000136,2013-01-06 12:00:00, 0.205 
MAC000136,2013-01-06 12:30:00, 0.258 
MAC000136,2013-01-06 13:00:00, 0.275 
MAC000136,2013-01-06 13:30:00, 0.336 
MAC000136,2013-01-06 14:00:00, 0.387 
MAC000136,2013-01-06 14:30:00, 0.645 
MAC000136,2013-01-06 15:00:00, 0.763 
MAC000136,2013-01-06 15:30:00, 0.851 
MAC000136,2013-01-06 16:00:00, 0.67 
MAC000136,2013-01-06 16:30:00, 0.357 
MAC000136,2013-01-06 17:00:00, 0.386 
MAC000136,2013-01-06 17:30:00, 0.446 
MAC000136,2013-01-06 18:00:00, 0.452 
MAC000136,2013-01-06 18:30:00, 0.651 
MAC000136,2013-01-06 19:00:00, 0.549 
MAC000136,2013-01-06 19:30:00, 0.343 
